date,priceOpen,priceHigh,priceLow,priceClose,volume
2023-10-15,26866.203244946537,26968.999218177312,26814.58658624637,26861.706202559675,5388116781.76
2023-10-14,26752.8795584136,27092.696746124435,26686.32230944192,26862.375445622496,15165312851.42
2023-10-13,26873.29249139075,26921.43890288145,26558.320783999003,26756.798638828568,9392909295.17
2023-10-12,27392.07554608154,27474.116186528725,26561.099365503007,26873.321120758894,13648094333.06
2023-10-11,27589.20110159883,27715.848347420422,27301.655078145017,27391.01951743658,9973350678.17
2023-10-10,27934.47216233954,27989.470901969704,27302.56191892332,27583.678594954847,12007668568.18
2023-10-09,27971.67810720863,28102.17039092581,27740.6630244878,27935.089580661173,7916875289.67
2023-10-08,27946.78163297696,28028.09208690548,27870.423458053087,27968.838870789838,6553044316.48
2023-10-07,27412.122423691733,28252.537569906584,27215.552446207737,27946.596779928917,13492391598.97
2023-10-06,27798.647126999644,28091.861237067216,27375.6014238251,27415.91198216774,11877253669.95
2023-10-05,27429.074995008952,27826.657948194268,27248.10624655641,27799.39409587958,11143355313.54
2023-10-04,27508.251818807486,27667.19203115332,27216.001322534757,27429.979016663237,11407814186.59
2023-10-03,27976.799152029067,28494.45963843138,27347.787579633296,27530.784889745028,19793041321.84
2023-10-02,26967.39743314936,28047.237710026937,26965.094292320064,27983.75038178473,9503917434.43
2023-10-01,26911.6891847171,27091.79550783723,26888.96780371492,26967.91630106372,5331172801.03
2023-09-30,27024.84171393561,27225.93842991725,26721.762796688006,26911.72160276557,10396435377.43
2023-09-29,26355.81239456195,27259.49922340818,26327.32171243625,27021.54676473845,14079002707.33
2023-09-28,26209.49834944303,26817.842315275757,26111.464381993235,26352.71761890885,11718380997.24
2023-09-27,26294.75867274134,26389.88478475173,26090.71240283964,26217.249335750654,9985498161.06
2023-09-26,26253.77529943756,26421.508355599428,26011.46961577542,26298.47955117476,11997833256.53
2023-09-25,26579.37398607126,26716.05846243727,26221.050004587996,26256.825786744543,8192867685.97
2023-09-23,26564.056167760817,26726.07803485976,26495.532412736065,26579.568637132503,10578746708.52
2023-09-18,26567.92758300208,26617.997627579007,26445.075125456697,26534.187516849965,6774210669.73
2023-09-17,26606.198652256917,26754.77018331882,26473.89077657253,26568.281287659884,7402031416.6
2023-09-16,26533.818837729646,26840.49792522151,26240.700625430905,26608.693364912444,11479735788.3
2023-09-15,26228.27786032509,26774.623356585485,26171.45185228815,26539.674442452662,13811359124.32
2023-09-14,25837.554963292878,26376.11346939332,25781.12372763362,26228.32408751368,13072077070.22
2023-09-13,25160.657925189484,26451.93849753749,25133.07890869152,25833.343060491483,18657279324.05
2023-09-12,25831.71550073221,25883.947002717247,24930.297494168444,25162.65527224756,14600006466.65
2023-09-11,25895.2099714338,25978.130167624386,25640.26170772089,25832.2262469114,7899553047.41
2023-09-10,25905.4249124824,25921.97622636704,25810.495089688124,25895.6782209584,5481314132.31
2023-09-09,26245.208208078435,26414.00597477302,25677.479580690466,25905.65375151327,10817356399.67
2023-09-08,25748.312009430218,26409.303011092205,25608.20159567896,26240.19489212002,11088307100.27
2023-09-07,25783.93074487901,25953.015656649022,25404.359679913214,25753.236258310782,12752705326.81
2023-09-06,25814.95780798914,25858.374312520144,25589.98858554394,25779.98179498475,11094740039.8
2023-09-05,25968.17013346548,26081.524605151677,25657.025567293684,25812.41526867281,10680635105.81
2023-09-04,25869.47279272437,26087.149164750943,25817.031798422275,25969.56735263164,8962524522.99
2023-09-03,25800.909609110324,25970.28448931195,25753.09384693841,25868.79814019321,10100387473.24
2023-09-02,25934.02080615863,26125.86977372056,25362.609128156902,25800.72437260772,17202862221.48
2023-09-01,27301.92931680457,27456.079001362155,25752.929946929373,25931.472893357368,20181001451.19
2023-08-31,27726.08403402729,27760.159396603736,27069.207424583645,27297.265348320638,16343655235.34
2023-08-30,26102.48583200257,28089.33802715427,25912.62890867488,27727.393009042426,29368391711.99
2023-08-29,26089.614922885765,26198.579064448368,25880.60024889048,26106.1500439649,11002805166.45
2023-08-28,26008.2418008294,26165.372438276096,25965.097538994916,26089.69347166345,6913768611.22
2023-08-27,26047.235239637183,26107.384290580063,25983.878273926643,26008.46265966795,6034817316.31
2023-08-26,26163.68005367363,26248.10342760329,25786.812461626567,26047.66885104809,12406045117.51
2023-08-25,26431.51989246775,26554.90981737716,25914.925558946263,26162.37249495053,12871532023.01
2023-08-24,26040.473651602013,26786.897605490947,25804.998186529647,26431.63998269965,16985265785.29
2023-08-23,26130.748016041613,26135.50820329062,25520.728490708952,26031.65647944816,14503820706.42
2023-08-22,26188.690650818717,26220.201684153268,25846.08797027676,26124.14125313101,13371557892.6
2023-08-21,26096.861225500263,26260.680935384175,26004.31529959161,26189.584668660435,9036580419.74
2023-08-20,26047.83297901064,26249.4483843828,25802.40788860038,26096.20455068808,10631443812.07
2023-08-19,26636.07840210928,26808.195784726875,25668.922816845883,26049.55690088067,24026236529.35
2023-08-18,28699.80283965744,28745.946525171366,25409.11160276864,26664.549993120152,31120851211.44
2023-08-17,29169.07401991628,29221.97574297547,28701.77952453054,28701.77952453054,14949271904.13
2023-08-16,29408.048589906968,29439.12042188584,29088.85327688286,29170.347205994203,12640195779.03
2023-08-15,29283.26294277104,29660.25433927243,29124.105547239265,29408.442550403204,14013695304.04
2023-08-14,29416.59359924432,29441.43338891422,29265.80759688342,29282.91437939815,7329897179.69
2023-08-13,29399.786654848744,29465.11378374591,29357.587981112123,29415.96451621951,6194358007.75
2023-08-12,29424.902574842985,29517.773668269485,29253.51798779874,29397.715497007062,10195168196.66
2023-08-11,29563.971836560333,29688.564816471524,29354.446435792423,29429.592488566137,11865344788.64
2023-08-10,29766.695595897992,30093.43518921235,29376.8005464538,29561.49450732431,18379521212.63
2023-08-09,29180.01886208521,30176.79623748381,29113.814464067455,29765.4926735622,17570561357.26
2023-08-08,29038.51284594314,29244.2808643985,28724.14053106778,29180.578921522465,13618163710.33
2023-08-07,29043.70198016305,29160.82154415018,28963.834688306848,29041.85617094027,7269806993.78
2023-08-06,29075.38895647629,29102.465652594947,28957.7976155422,29042.126150075645,6598366352.73
2023-08-05,29174.38183697726,29302.0782223191,28885.33539940102,29074.091727772346,12036639987.62
2023-08-04,29161.81194570409,29375.70702796135,28959.48820890262,29178.678779687,12780357745.55
2023-08-03,29704.146838200217,29987.997112196717,28946.510378230032,29151.95968913307,19212655598.47
2023-08-02,29230.87240499029,29675.732498060763,28657.02381974255,29675.732498060763,18272392391.28
2023-08-01,29278.31405437211,29489.872868720275,29131.57903377326,29230.11087864901,11656781981.62
2023-07-31,29357.093643392607,29443.169489786003,29059.502628570783,29275.307946896966,8678454526.64
2023-07-30,29319.44603768161,29396.84375418112,29264.16627390041,29356.91853756984,6481775958.74
2023-07-29,29212.164302427616,29521.5143305549,29125.845592149624,29319.24540303486,11218474951.63
2023-07-28,29353.79882921537,29560.96626199313,29099.35225113293,29210.68927733737,10770779216.98
2023-07-27,29225.76011533686,29675.552617399644,29113.91132357975,29354.972883148803,13497554655.35
2023-07-26,29178.970044592083,29353.161104588005,29062.43429310641,29227.390799951987,10266772792.7
2023-07-25,30081.66164457886,30093.3942473004,28934.294160245703,29176.915484832643,15395817395.41
2023-07-24,29790.11164640421,30330.64039201111,29741.527314547297,30084.539240756265,9220145049.89
2023-07-23,29908.69698861633,29991.61595644289,29664.12094534707,29771.80282777146,7873300597.52
2023-07-22,29805.111530493545,30045.99751264125,29733.85099942077,29908.743898772045,10972789817.7
2023-07-21,29915.250325865425,30195.53103672748,29638.09667487601,29792.01637805081,14655207120.53
2023-07-20,29862.047207949952,30184.181151316767,29794.26886313251,29913.92319985428,12128602811.7
2023-07-19,30147.070861420925,30233.65534901887,29556.42837297101,29856.56322312064,13138897269.16
2023-07-18,30249.62661714303,30336.4001335,29685.782686655515,30145.889625508706,13240156074.07
2023-07-17,30297.472110816725,30437.560732332426,30089.67038375998,30249.132810296705,8516564469.72
2023-07-16,30331.78227697352,30407.781109318264,30263.46341666242,30295.807483728026,8011667755.87
2023-07-15,31474.721363624696,31582.254827237728,29966.38713650077,30334.069007690672,20917902659.76
2023-07-14,30387.489196646333,31814.51481206781,30268.35248661994,31476.049385444207,23686079547.52
2023-07-13,30622.24694556371,30959.9655594585,30228.83522031634,30391.646143934307,14805659716.84
2023-07-12,30417.63362402037,30788.314619575805,30358.09774220716,30620.95093800409,12151839151.9
2023-07-11,30172.422955372134,31026.083799965392,29985.394700634453,30414.471520592702,14828209155.42
2023-07-10,30291.610530287548,30427.590660312413,30085.59219324124,30171.23357175826,7903327692.27
2023-07-09,30346.92165283586,30374.436525061985,30080.159610240175,30292.541172641984,7509378699.36
2023-07-08,29907.998902423325,30434.643694359656,29777.28441008444,30342.264752095933,13384770154.9
2023-07-07,30507.15111094327,31460.053612687974,29892.226031563318,29909.33776110073,21129219508.8
2023-07-06,30778.725362745445,30877.32925104366,30225.61269853897,30514.16639281996,12481622279.55
2023-07-05,31156.86492165544,31325.198166376776,30659.355893337084,30777.58151116772,12810828427.35
2023-07-04,30624.51631127161,31375.61325200148,30586.51343339069,31156.43949157535,15271884873.11
2023-07-03,30587.26995587785,30766.139746690114,30264.018714366972,30620.77026344812,10533418042.02
2023-07-02,30471.847563048803,30641.2893232817,30328.86474880932,30590.0790715004,9086606733.0
2023-07-01,30441.35375917607,31256.8626995544,29600.275939419127,30477.251282244622,26387306196.78
2023-06-30,30086.186717423134,30796.250239651657,30057.20302030009,30445.3512260882,13180860821.04
2023-06-29,30696.56148684194,30703.27997632466,29921.82283255985,30086.24618852492,14571500779.44
2023-06-28,30274.321187966107,31006.78657697437,30236.65129380437,30688.163854246024,16428827943.78
